fairness_CIDT_10pct
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.499049478	0.7016998	0
driver_id	105	0.517395663	0.7023719	0
driver_id	103	0.492467648	0.7023611	0
driver_id	102	0.502665185	0.70186317	0
driver_id	104	0.500851784	0.7026313	0
vehicle_id	1001	0.499114608	0.7019269	0
vehicle_id	2002	0.508973748	0.7015402	0
vehicle_id	5005	0.505143596	0.7022609	0
vehicle_id	3003	0.494697951	0.70218724	0
vehicle_id	4004	0.497590009	0.7024229	0
weather_conditions	Sunny	0.50344184	0.70209104	0
weather_conditions	Cloudy	0.496917331	0.7016031	0
weather_conditions	Foggy	0.488929865	0.70160836	0
weather_conditions	Rainy	0.500847324	0.7017427	0
road_type	Urban	0.502521766	0.7018666	0
road_type	Highway	0.494766135	0.7024207	0
road_type	Rural	0.503204434	0.7017784	0
fairness_CIDT_25pct
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.499944203	0.70694864	0
driver_id	105	0.510644999	0.7071484	0
driver_id	103	0.495129243	0.7077375	0
driver_id	102	0.49601892	0.7069496	0
driver_id	104	0.5040623	0.70715016	0
vehicle_id	1001	0.497779053	0.706979	0
vehicle_id	2002	0.50115219	0.7069374	0
vehicle_id	5005	0.512536588	0.7069531	0
vehicle_id	3003	0.496742808	0.70762384	0
vehicle_id	4004	0.500777089	0.7073257	0
weather_conditions	Sunny	0.503135905	0.7071237	0
weather_conditions	Cloudy	0.492373815	0.70692897	0
weather_conditions	Foggy	0.491080538	0.7067413	0
weather_conditions	Rainy	0.495920454	0.7071381	0
road_type	Urban	0.502072765	0.7069565	0
road_type	Highway	0.494592931	0.70751595	0
road_type	Rural	0.499913914	0.70695406	0
fairness_CIDT_50pct
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.500386985	0.70518124	0
driver_id	105	0.511075679	0.7058598	0
driver_id	103	0.498415767	0.7055522	0
driver_id	102	0.500394442	0.70503515	0
driver_id	104	0.49838312	0.7056309	0
vehicle_id	1001	0.500805537	0.70527035	0
vehicle_id	2002	0.504677948	0.70523936	0
vehicle_id	5005	0.501469771	0.70505315	0
vehicle_id	3003	0.495870604	0.7056387	0
vehicle_id	4004	0.499929097	0.7054903	0
weather_conditions	Sunny	0.502958568	0.7053877	0
weather_conditions	Cloudy	0.501637263	0.70511377	0
weather_conditions	Foggy	0.48944112	0.7049974	0
weather_conditions	Rainy	0.498302196	0.7051858	0
road_type	Urban	0.50358521	0.7051743	0
road_type	Highway	0.495600215	0.70568645	0
road_type	Rural	0.498892168	0.70529884	0
fairness_CIDT_100pct
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.502720796	0.6998608	0
driver_id	105	0.512027881	0.700311	0
driver_id	103	0.493002166	0.7005205	0
driver_id	102	0.500449018	0.69997007	0
driver_id	104	0.50055204	0.70047885	0
vehicle_id	1001	0.502514892	0.7000372	0
vehicle_id	2002	0.506439093	0.69983304	0
vehicle_id	5005	0.500284648	0.69993526	0
vehicle_id	3003	0.491218572	0.70041263	0
vehicle_id	4004	0.503208304	0.7003546	0
weather_conditions	Sunny	0.503545427	0.7001981	0
weather_conditions	Cloudy	0.496422247	0.70012575	0
weather_conditions	Foggy	0.493688956	0.6997213	0
weather_conditions	Rainy	0.504579258	0.69932127	0
road_type	Urban	0.503476348	0.69990623	0
road_type	Highway	0.496289228	0.7006884	0
road_type	Rural	0.503308716	0.6998741	0
fairness_DANN
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.501079953	0.50847226	0.2712
driver_id	105	0.491858099	0.5084763	0.283089291
driver_id	103	0.508265472	0.5084104	0.27262507
driver_id	102	0.499484848	0.5085123	0.273047646
driver_id	104	0.49287458	0.5083301	0.288857546
vehicle_id	1001	0.500997593	0.50843036	0.274741591
vehicle_id	2002	0.492036184	0.5087162	0.278792135
vehicle_id	5005	0.493323522	0.5082908	0.278041958
vehicle_id	3003	0.506087829	0.5085447	0.2719954
vehicle_id	4004	0.50948914	0.50818473	0.265160183
weather_conditions	Sunny	0.497814588	0.50846297	0.275304299
weather_conditions	Cloudy	0.505474625	0.5086403	0.263486655
weather_conditions	Foggy	0.505862841	0.50843245	0.277308477
weather_conditions	Rainy	0.501577411	0.5082892	0.27889016
road_type	Urban	0.49988246	0.5084532	0.275437521
road_type	Highway	0.497354009	0.5084444	0.276342234
road_type	Rural	0.50178348	0.5084967	0.270705631
fairness_GroupDRO
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.498802108	0.3378549	1
driver_id	105	0.499992026	0.33691075	1
driver_id	103	0.496969114	0.33830848	1
driver_id	102	0.499400078	0.33770967	1
driver_id	104	0.505698987	0.33723915	1
vehicle_id	1001	0.497735456	0.33769858	1
vehicle_id	2002	0.498085073	0.3375291	1
vehicle_id	5005	0.51256723	0.3383242	1
vehicle_id	3003	0.49999539	0.3375956	1
vehicle_id	4004	0.49801612	0.33767372	1
weather_conditions	Sunny	0.497384431	0.3376615	1
weather_conditions	Cloudy	0.500520893	0.33759657	1
weather_conditions	Foggy	0.509660664	0.33786467	1
weather_conditions	Rainy	0.504170242	0.33806106	1
road_type	Urban	0.495842242	0.33776566	1
road_type	Highway	0.506524435	0.33763838	1
road_type	Rural	0.503861205	0.33764067	1
fairness_IRM_Full
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.500215192	0.8613413	0
driver_id	105	0.503044123	0.86216533	0
driver_id	103	0.496201025	0.8619203	0
driver_id	102	0.501283374	0.86116314	0
driver_id	104	0.499579068	0.86230195	0
vehicle_id	1001	0.497562757	0.8612951	0
vehicle_id	2002	0.502839053	0.8617533	0
vehicle_id	5005	0.505845883	0.8618219	0
vehicle_id	3003	0.505416655	0.8622513	0
vehicle_id	4004	0.497694155	0.86135674	0
weather_conditions	Sunny	0.500894611	0.86161995	0
weather_conditions	Cloudy	0.506308791	0.8617666	0
weather_conditions	Foggy	0.4923468	0.8615351	0
weather_conditions	Rainy	0.497389435	0.8607761	0
road_type	Urban	0.503194486	0.8616679	0
road_type	Highway	0.496116698	0.8616187	0
road_type	Rural	0.495403933	0.8610861	0
fairness_LogReg_FP32
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.500603554	0.292205109	1
driver_id	105	0.499589946	0.292133468	1
driver_id	103	0.496076297	0.292240629	1
driver_id	102	0.502701344	0.292207375	1
driver_id	104	0.50336793	0.292201709	1
vehicle_id	1001	0.498815217	0.29218635	1
vehicle_id	2002	0.497855883	0.292220999	1
vehicle_id	5005	0.515515469	0.292205853	1
vehicle_id	3003	0.502306309	0.292211566	1
vehicle_id	4004	0.499773096	0.29222597	1
weather_conditions	Sunny	0.499568548	0.292198582	1
weather_conditions	Cloudy	0.495776336	0.29220853	1
weather_conditions	Foggy	0.511532499	0.292231678	1
weather_conditions	Rainy	0.503547403	0.292186751	1
road_type	Urban	0.500309565	0.292197514	1
road_type	Highway	0.497155327	0.292228837	1
road_type	Rural	0.505707441	0.292187295	1
fairness_MLP_FP32
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.562126727	0.285601179	0.987028571
driver_id	105	0.559213682	0.284910249	0.989664083
driver_id	103	0.564211805	0.287254074	0.984541877
driver_id	102	0.560965606	0.285909254	0.98421201
driver_id	104	0.555419954	0.285644995	0.987023977
vehicle_id	1001	0.563413838	0.285816584	0.985951688
vehicle_id	2002	0.559482443	0.286594459	0.986235955
vehicle_id	5005	0.547319489	0.285576302	0.987412587
vehicle_id	3003	0.565270983	0.284510166	0.987636573
vehicle_id	4004	0.562716958	0.285299202	0.987414188
weather_conditions	Sunny	0.554080169	0.285685504	0.987059727
weather_conditions	Cloudy	0.565387116	0.285583554	0.988074957
weather_conditions	Foggy	0.58737513	0.286283349	0.983396446
weather_conditions	Rainy	0.580707926	0.285975029	0.983695652
road_type	Urban	0.549022934	0.285889116	0.988018303
road_type	Highway	0.587279698	0.285694261	0.984065461
road_type	Rural	0.571668752	0.285458515	0.984176764
fairness_SEFN_FP32
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.895428571	0.554343	0
driver_id	105	0.893051967	0.55463636	0
driver_id	103	0.894041596	0.5554975	0
driver_id	102	0.892585283	0.55428416	0
driver_id	104	0.891819464	0.5534037	0
vehicle_id	1001	0.896293758	0.5544759	0
vehicle_id	2002	0.894241573	0.5550128	0
vehicle_id	5005	0.88965035	0.5542751	0
vehicle_id	3003	0.886285221	0.5529508	0
vehicle_id	4004	0.895308924	0.55417645	0
weather_conditions	Sunny	0.891665656	0.5542038	0
weather_conditions	Cloudy	0.89693356	0.55569625	0
weather_conditions	Foggy	0.900087387	0.5532957	0
weather_conditions	Rainy	0.902745995	0.55539155	0
road_type	Urban	0.894546913	0.55453235	0
road_type	Highway	0.893769739	0.5542956	0
road_type	Rural	0.89315752	0.55400306	0
fairness_SEFN_INT8
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.587542857	0.36669073	1
driver_id	105	0.571777204	0.36629826	1
driver_id	103	0.588532884	0.36695802	1
driver_id	102	0.583450803	0.36662778	1
driver_id	104	0.584908322	0.36657912	1
vehicle_id	1001	0.587687739	0.36672023	1
vehicle_id	2002	0.582162921	0.3666567	1
vehicle_id	5005	0.582237762	0.366618	1
vehicle_id	3003	0.578637148	0.36631724	1
vehicle_id	4004	0.586384439	0.36669984	1
weather_conditions	Sunny	0.585830402	0.3666694	1
weather_conditions	Cloudy	0.58915389	0.3669191	1
weather_conditions	Foggy	0.578794058	0.36637887	1
weather_conditions	Rainy	0.580949657	0.36656588	1
road_type	Urban	0.586513515	0.3666777	1
road_type	Highway	0.582256675	0.3666478	1
road_type	Rural	0.583107627	0.36659244	1
fairness_SEFN_Temporal_FP32
Axis	Group	AUROC	Mean_Risk	False_Safe_Rate
driver_id	101	0.895428571	0.52346236	0
driver_id	105	0.893051967	0.52340347	0
driver_id	103	0.894041596	0.5239732	0
driver_id	102	0.892585283	0.5234822	0
driver_id	104	0.891819464	0.5230667	0
vehicle_id	1001	0.896293758	0.5235392	0
vehicle_id	2002	0.894241573	0.5236176	0
vehicle_id	5005	0.88965035	0.5234471	0
vehicle_id	3003	0.886285221	0.5229802	0
vehicle_id	4004	0.895308924	0.5233576	0
weather_conditions	Sunny	0.891665656	0.523422	0
weather_conditions	Cloudy	0.89693356	0.52412605	0
weather_conditions	Foggy	0.900087387	0.52292174	0
weather_conditions	Rainy	0.902745995	0.5237172	0
road_type	Urban	0.894546913	0.5235216	0
road_type	Highway	0.893769739	0.52350163	0
