Axis,Group,AUROC,Mean_Risk,False_Safe_Rate
driver_id,101,0.5027207956429718,0.6998608,0.0
driver_id,105,0.5120278812795214,0.700311,0.0
driver_id,103,0.4930021655479689,0.7005205,0.0
driver_id,102,0.5004490183238258,0.69997007,0.0
driver_id,104,0.5005520398238803,0.70047885,0.0
vehicle_id,1001,0.5025148920019421,0.7000372,0.0
vehicle_id,2002,0.5064390929634421,0.69983304,0.0
vehicle_id,5005,0.500284647690154,0.69993526,0.0
vehicle_id,3003,0.4912185717135783,0.70041263,0.0
vehicle_id,4004,0.5032083039335317,0.7003546,0.0
weather_conditions,Sunny,0.5035454272579878,0.7001981,0.0
weather_conditions,Cloudy,0.4964222470635241,0.70012575,0.0
weather_conditions,Foggy,0.49368895576902716,0.6997213,0.0
weather_conditions,Rainy,0.5045792575725997,0.69932127,0.0
road_type,Urban,0.503476348230804,0.69990623,0.0
road_type,Highway,0.4962892279329647,0.7006884,0.0
road_type,Rural,0.503308715545548,0.6998741,0.0
