Axis,Group,AUROC,Mean_Risk,False_Safe_Rate
driver_id,101,0.5010799532212621,0.50847226,0.2712
driver_id,105,0.4918580987210384,0.5084763,0.2830892908412288
driver_id,103,0.5082654718788071,0.5084104,0.27262507026419336
driver_id,102,0.49948484767451534,0.5085123,0.27304764589794195
driver_id,104,0.4928745798944526,0.5083301,0.28885754583921014
vehicle_id,1001,0.5009975933733349,0.50843036,0.2747415909999429
vehicle_id,2002,0.49203618354717443,0.5087162,0.27879213483146065
vehicle_id,5005,0.49332352202160884,0.5082908,0.278041958041958
vehicle_id,3003,0.5060878290361573,0.5085447,0.2719953996549741
vehicle_id,4004,0.5094891400099474,0.50818473,0.2651601830663616
weather_conditions,Sunny,0.49781458822401115,0.50846297,0.2753042985967892
weather_conditions,Cloudy,0.505474625137855,0.5086403,0.26348665530948323
weather_conditions,Foggy,0.5058628413615609,0.50843245,0.27730847655112145
weather_conditions,Rainy,0.5015774111962921,0.5082892,0.27889016018306634
road_type,Urban,0.49988246037680717,0.5084532,0.27543752063776594
road_type,Highway,0.49735400930487556,0.5084444,0.2763422337065748
road_type,Rural,0.501783479844777,0.5084967,0.2707056307911618
