Axis,Group,AUROC,Mean_Risk,False_Safe_Rate
driver_id,101,0.49880210841343237,0.3378549,1.0
driver_id,105,0.49999202571406887,0.33691075,1.0
driver_id,103,0.4969691141829083,0.33830848,1.0
driver_id,102,0.49940007838629996,0.33770967,1.0
driver_id,104,0.5056989873813187,0.33723915,1.0
vehicle_id,1001,0.49773545614952075,0.33769858,1.0
vehicle_id,2002,0.49808507311644834,0.3375291,1.0
vehicle_id,5005,0.5125672297837487,0.3383242,1.0
vehicle_id,3003,0.4999953895959107,0.3375956,1.0
vehicle_id,4004,0.49801612026191183,0.33767372,1.0
weather_conditions,Sunny,0.4973844306324473,0.3376615,1.0
weather_conditions,Cloudy,0.5005208927390201,0.33759657,1.0
weather_conditions,Foggy,0.509660664090043,0.33786467,1.0
weather_conditions,Rainy,0.5041702416190876,0.33806106,1.0
road_type,Urban,0.49584224229579815,0.33776566,1.0
road_type,Highway,0.5065244350556777,0.33763838,1.0
road_type,Rural,0.5038612051687481,0.33764067,1.0
