Axis,Group,AUROC,Mean_Risk,False_Safe_Rate
driver_id,101,0.5006035535663733,0.29220510914282793,1.0
driver_id,105,0.4995899456474742,0.29213346780883187,1.0
driver_id,103,0.49607629731309455,0.29224062925980154,1.0
driver_id,102,0.5027013443816977,0.2922073747425204,1.0
driver_id,104,0.5033679299573514,0.2922017094504245,1.0
vehicle_id,1001,0.4988152170134942,0.292186350017684,1.0
vehicle_id,2002,0.4978558828475318,0.2922209986507452,1.0
vehicle_id,5005,0.5155154691318947,0.29220585316503067,1.0
vehicle_id,3003,0.5023063085416537,0.29221156579221264,1.0
vehicle_id,4004,0.4997730955671572,0.2922259700476483,1.0
weather_conditions,Sunny,0.4995685479804839,0.29219858180130603,1.0
weather_conditions,Cloudy,0.4957763360081029,0.292208530162026,1.0
weather_conditions,Foggy,0.5115324985399106,0.2922316783733418,1.0
weather_conditions,Rainy,0.5035474034641356,0.2921867509703014,1.0
road_type,Urban,0.5003095650415215,0.29219751426010554,1.0
road_type,Highway,0.4971553270892337,0.29222883707167446,1.0
road_type,Rural,0.5057074405210173,0.2921872951035403,1.0
