Axis,Group,AUROC,Mean_Risk,False_Safe_Rate
driver_id,101,0.5875428571428571,0.36669073,1.0
driver_id,105,0.5717772035601493,0.36629826,1.0
driver_id,103,0.5885328836424958,0.36695802,1.0
driver_id,102,0.583450803495912,0.36662778,1.0
driver_id,104,0.5849083215796897,0.36657912,1.0
vehicle_id,1001,0.5876877391354006,0.36672023,1.0
vehicle_id,2002,0.5821629213483146,0.3666567,1.0
vehicle_id,5005,0.5822377622377622,0.366618,1.0
vehicle_id,3003,0.578637147786084,0.36631724,1.0
vehicle_id,4004,0.5863844393592678,0.36669984,1.0
weather_conditions,Sunny,0.5858304015528327,0.3666694,1.0
weather_conditions,Cloudy,0.5891538898353208,0.3669191,1.0
weather_conditions,Foggy,0.5787940576755025,0.36637887,1.0
weather_conditions,Rainy,0.5809496567505721,0.36656588,1.0
road_type,Urban,0.5865135147884335,0.3666777,1.0
road_type,Highway,0.5822566752799311,0.3666478,1.0
road_type,Rural,0.5831076265146116,0.36659244,1.0
