Axis,Group,AUROC,Mean_Risk,False_Safe_Rate
driver_id,101,0.8954285714285715,0.52346236,0.0
driver_id,105,0.8930519666953776,0.52340347,0.0
driver_id,103,0.8940415964024733,0.5239732,0.0
driver_id,102,0.8925852833380321,0.5234822,0.0
driver_id,104,0.8918194640338505,0.5230667,0.0
vehicle_id,1001,0.8962937582091257,0.5235392,0.0
vehicle_id,2002,0.8942415730337079,0.5236176,0.0
vehicle_id,5005,0.8896503496503496,0.5234471,0.0
vehicle_id,3003,0.8862852213916044,0.5229802,0.0
vehicle_id,4004,0.8953089244851258,0.5233576,0.0
weather_conditions,Sunny,0.8916656557078734,0.523422,0.0
weather_conditions,Cloudy,0.8969335604770017,0.52412605,0.0
weather_conditions,Foggy,0.9000873871249636,0.52292174,0.0
weather_conditions,Rainy,0.902745995423341,0.5237172,0.0
road_type,Urban,0.8945469125902166,0.5235216,0.0
road_type,Highway,0.8937697387309791,0.52350163,0.0
road_type,Rural,0.8931575196008553,0.5232893,0.0
