Axis,Group,AUROC,Mean_Risk,False_Safe_Rate
driver_id,101,0.6566672521872767,0.29169285,0.9918285714285714
driver_id,105,0.6669274189124723,0.292256,0.9890898650588573
driver_id,103,0.6609163630402334,0.29221466,0.9898819561551433
driver_id,102,0.6587831834249165,0.29165852,0.9932337186354666
driver_id,104,0.6590928244921881,0.2913415,0.9912552891396332
vehicle_id,1001,0.6600510241773653,0.2915065,0.9918908114899206
vehicle_id,2002,0.6549318638915892,0.29237577,0.9889044943820224
vehicle_id,5005,0.6585530545049911,0.29262128,0.9935664335664336
vehicle_id,3003,0.6586453794530216,0.29097804,0.9919493962047153
vehicle_id,4004,0.6607389822220208,0.29168862,0.9931350114416476
weather_conditions,Sunny,0.6391326038223607,0.29175314,0.9926806583363662
weather_conditions,Cloudy,0.6790938796904362,0.29174912,0.9892106757524134
weather_conditions,Foggy,0.7229290660635094,0.29163462,0.9886396737547335
weather_conditions,Rainy,0.7116303382656428,0.2919205,0.9891304347826086
road_type,Urban,0.6259269017747481,0.29172674,0.9928770225010614
road_type,Highway,0.7297589642326574,0.29177243,0.9877978753947746
road_type,Rural,0.6853971669062484,0.29183528,0.9914468995010691
